entity_id,match_group,did,ci_lo,ci_hi,p,fdr_sig
the_kestrel_union,ns_large,5.23665205637614,0.026051441828409832,10.570904523134228,0.04,False
the_republic_of_marenthia,ns_regional,3.509324550628662,-0.8901968717575072,7.761974704265592,0.132,False
the_astaran_federation,ns_major,3.429019292195638,0.6804787317911783,6.177559852600098,0.009,False
verantis_dynamics,corp_mega,2.7036248048146567,-0.6244472821553548,6.136736472447713,0.142,False
aldous_verrick,tech_leader,2.555986007054647,-2.2039836247762046,7.9368477662404375,0.346,False
halden_voss,pol_figure,2.339475949605306,-0.6781986474990844,5.993927049636833,0.157,False
the_concordance_movement,ideology,2.135720173517863,-0.8325860500335693,4.815260966618849,0.166,False
the_libertarian_movement,ideology,1.8131145636240644,-0.027784281969070432,4.340161720911662,0.056,False
mistral_ai,ai_lab,1.462344487508138,-0.06576641201972962,2.484473546346029,0.055,False
lockheed_martin,corp_mega,1.3871067365010576,0.021836519241333303,3.724551200866699,0.026,False
exxonmobil,corp_mega,1.3432340621948242,0.05468646685282389,2.6865770320097573,0.029,False
the_effective_altruism_movement,ideology,1.1555101076761882,-0.9991184870402018,4.066977818806966,0.391,False
anthony_albanese,pol_figure,0.9651947021484378,0.2686183969179794,1.6986271540323894,0.005,False
anura_kumara_dissanayake,pol_figure,0.9466651280721026,-1.0956255594889324,2.664602597554524,0.343,False
demis_hassabis,tech_leader,0.8390982151031494,-0.5417804698149363,2.374976714452108,0.259,False
xi_jinping,pol_figure,0.8389318784077967,-1.3967096885045356,4.363126977284744,0.659,False
mia_mottley,pol_figure,0.8222330411275225,0.08820787668228125,1.561875820159912,0.028,False
sam_altman,tech_leader,0.8014837106068926,0.07888921101887991,1.5702008406321204,0.029,False
elon_musk,tech_leader,0.7547996838887533,-0.7192083199818929,2.810541961590449,0.442,False
openai,ai_lab,0.6864365736643473,-0.7209688325723012,1.9423141479492188,0.324,False
alibaba's_qwen_team,ai_lab,0.6805558999379479,-0.45525153477986624,2.3265602588653564,0.415,False
donald_trump,pol_figure,0.6768795649210615,-0.8786481221516924,2.430182456970215,0.471,False
gitanas_nausėda,pol_figure,0.5896902084350586,-0.14611021677653013,1.313968626658121,0.109,False
pfizer,corp_mega,0.5191740989685059,-0.7736660639444987,2.403969128926595,0.621,False
anthropic,ai_lab,0.48388083775838214,-0.8731020291646322,1.8472790161768584,0.506,False
brazil,ns_large,0.39837646484375,-0.056302225589752196,0.844027598698934,0.084,False
satya_nadella,tech_leader,0.3977406819661458,-1.1419482231140137,2.5039296189943885,0.729,False
saudi_arabia,ns_regional,0.3768133322397868,-0.01774884859720865,0.8571087439854934,0.072,False
mark_zuckerberg,tech_leader,0.3301250139872233,-1.072309829791387,1.88990052541097,0.684,False
prabowo_subianto,pol_figure,0.2552328109741209,-1.2712354660034177,2.552361170450846,0.784,False
japan,ns_large,0.24474183718363415,-0.446459849675497,0.976625661055245,0.547,False
andry_rajoelina,pol_figure,0.2035635312398274,-0.6690826416015625,0.9754966100056967,0.617,False
narendra_modi,pol_figure,0.1885215441385908,-2.052840709686279,2.6273306250572164,0.892,False
poland,ns_regional,0.18227402369181314,-0.6192905902862549,1.1580229560534134,0.798,False
nvidia,corp_mega,0.11247762044270833,-1.0571705182393392,1.8857844670613606,0.911,False
israel,ns_regional,0.1080780824025475,-0.7953560352325436,1.0115122000376386,0.828,False
mexico,ns_regional,0.10739390055338571,-0.0936991254488627,0.3147537827491745,0.339,False
france,ns_large,0.08308506011962861,-0.47696844736735083,0.5940469106038412,0.797,False
dario_amodei,tech_leader,0.0534738699595135,-1.6830992420514423,1.6217902501424153,0.911,False
russia,ns_major,8.440017700224918e-05,-1.1671805381774902,1.2336565653483083,0.994,False
huawei,corp_mega,-0.0056401093800863,-1.2922581036885579,1.291711648305257,0.934,False
the_united_states,ns_major,-0.037815729777018525,-1.2807604471842453,1.2096865971883137,0.94,False
deepseek,ai_lab,-0.07477688789367705,-2.467823733886083,2.9228563308715816,0.847,False
the_open-source_movement,ideology,-0.13239494959513345,-1.8854268391927083,1.5287141799926758,0.895,False
cyril_ramaphosa,pol_figure,-0.17848602930704738,-1.726900577545166,1.7695528785387644,0.791,False
recep_tayyip_erdoğan,pol_figure,-0.20868460337320904,-1.365344683329264,1.225265343983968,0.718,False
south_africa,ns_regional,-0.2128774325052901,-0.693572203318278,0.21837894121805812,0.42,False
indonesia,ns_regional,-0.23386406898498566,-1.8736670811971035,0.7435967922210693,0.694,False
tesla,corp_mega,-0.2454237143198649,-1.3817969222863513,0.7523568093776678,0.702,False
novara_systems,ai_lab,-0.2517907619476321,-2.389195442199707,1.7829829057057696,0.838,False
